#processors,time
1,0.000000
2,0.000001
3,0.000002
4,0.000003
5,0.000003
6,0.000004
7,0.000005
8,0.000006
9,0.000006
10,0.000007
11,0.000007
12,0.000008
13,0.000015
14,0.000017
15,0.000017
16,0.000018
17,0.000020
18,0.000021
19,0.000022
20,0.000023
21,0.000024
22,0.000025
23,0.000026
24,0.000027
25,0.000058
26,0.000059
27,0.000062
28,0.000067
29,0.000067
30,0.000069
31,0.000071
32,0.000075
33,0.000077
34,0.000080
35,0.000083
36,0.000084
37,0.000087
38,0.000089
39,0.000091
40,0.000096
41,0.000095
42,0.000099
43,0.000102
44,0.000103
45,0.000106
46,0.000107
47,0.000110
48,0.000113
