mpirun -np 2 -env I_MPI_DEBUG 4 -genv I_MPI_PIN_PROCESSOR_LIST shift=core ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pg-gnode001 CPU 0 | host 2: ct1pg-gnode001 CPU 4 | 
# Computed latency: 0.289 usec | Computed bandwidth: 5.2 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     0.2825          0.288654      0.0000             0.000000
        1          1000     0.2905          0.288848      3.4410             3.462026
        2          1000     0.2905          0.289042      6.8275             6.919409
        4          1000     0.2910          0.289430     13.6545            13.820281
        8          1000     0.2905          0.290205     27.4780            27.566716
       16          1000     0.2910          0.291756     54.9380            54.840400
       32          1000     0.3005          0.294857    106.4505           108.527166
       64          1000     0.3000          0.301060    212.5545           212.582406
      128          1000     0.3010          0.313465    422.0995           408.338962
      256          1000     0.3190          0.338276    805.7430           756.779035
      512          1000     0.5550          0.387897    924.2155          1319.937570
     1024          1000     0.6175          0.487140   1662.8770          2102.065591
     2048          1000     0.7420          0.685625   2763.4390          2987.053858
     4096          1000     0.9570          1.082596   4285.5690          3783.496699
     8192          1000     1.4950          1.876538   5483.5370          4365.484706
    16384          1000     2.3965          3.464423   6837.2765          4729.215241
    32768          1000     3.6170          6.640191   9055.1125          4934.797992
    65536           640     5.8390         12.991727  11223.7850          5044.440924
   131072           320     8.6875         25.694800  15088.4005          5101.109976
   262144           160    15.4460         51.100945  16995.3405          5129.924662
   524288            80    41.7870        101.913236  12552.0715          5144.454426
  1048576            40    83.6360        203.537818  12537.6350          5151.750216
  2097152            20   160.5420        406.786982  13063.8045          5155.405877
  4194304            10   405.9620        813.285310  10339.1285          5157.235654
  8388608             5  1043.4345       1626.281967   8040.0700          5158.151029
 16777216             2  2136.9105       3252.275279   7852.1065          5158.608839
 33554432             1  5954.8370       6504.261903   5634.9535          5158.837774
 67108864             1 12346.2760      13008.235152   5435.8060          5158.952249
134217728             1 25556.5895      26016.181650   5251.8760          5159.009489
268435456             1 52222.2755      52032.074645   5140.2715          5159.038109
