mpirun -np 2 --map-by ppr:1:core --mca pml ob1 --mca btl self,tcp --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pg-gnode001 socket 0 core 0 | host 2: ct1pg-gnode001 socket 0 core 1 | 
# Computed latency: 5 usec | Computed bandwidth: 5.1 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     4.9330          5.000659      0.0000             0.000000
        1          1000     5.0215          5.000853      0.2000             0.199966
        2          1000     5.0175          5.001048      0.3990             0.399916
        4          1000     5.0200          5.001437      0.7965             0.799770
        8          1000     5.0195          5.002214      1.5935             1.599292
       16          1000     5.0105          5.003769      3.1940             3.197589
       32          1000     5.0185          5.006880      6.3775             6.391206
       64          1000     5.0260          5.013101     12.7340            12.766550
      128          1000     5.0840          5.025542     25.1705            25.469888
      256          1000     5.1180          5.050426     50.0255            50.688795
      512          1000     5.1750          5.100193     98.9630           100.388365
     1024          1000     5.8115          5.199726    176.1895           196.933443
     2048          1000     5.5575          5.398794    368.5125           379.344008
     4096          1000     6.4270          5.796928    637.3700           706.581118
     8192          1000     6.8815          6.593197   1190.3425          1242.492757
    16384          1000     8.9010          8.185736   1840.6280          2001.530519
    32768          1000    14.3090         11.370813   2290.2655          2881.764143
    65536           640    30.0555         17.740966   2180.5090          3694.049088
   131072           320    44.3490         30.481273   2955.5730          4300.082816
   262144           160    61.8480         55.961888   4238.6025          4684.330893
   524288            80    97.8800        106.923117   5356.6510          4903.411127
  1048576            40   163.9350        208.845574   6396.9680          5020.819824
  2097152            20   320.1440        412.690490   6550.8190          5081.658173
  4194304            10   660.0230        820.380320   6355.3025          5112.633611
  8388608             5  1552.5970       1635.759982   5403.1335          5128.263371
 16777216             2  3299.3880       3266.519305   5085.1450          5136.114143
 33554432             1  6622.9185       6528.037951   5066.5935          5140.048549
 67108864             1 13237.2565      13051.075243   5069.7495          5142.018014
134217728             1 26267.5755      26097.149827   5109.6630          5143.003312
268435456             1 52048.8590      52189.298995   5157.3780          5143.496103
