mpirun -np 2 --map-by ppr:1:core --mca pml ucx --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pg-gnode001 socket 0 core 0 | host 2: ct1pg-gnode001 socket 0 core 1 | 
# Computed latency: 0.217 usec | Computed bandwidth: 6.4 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     0.2255          0.216806      0.0000             0.000000
        1          1000     0.2165          0.216962      4.6160             4.609109
        2          1000     0.2190          0.217117      9.1645             9.211627
        4          1000     0.2155          0.217427     18.5790            18.396949
        8          1000     0.2155          0.218048     37.2425            36.689124
       16          1000     0.2150          0.219290     74.3235            72.962715
       32          1000     0.2505          0.221774    128.2305           144.291216
       64          1000     0.2490          0.226741    258.3190           282.260387
      128          1000     0.3540          0.236676    361.5765           540.824812
      256          1000     0.3765          0.256545    680.7795           997.877124
      512          1000     0.4575          0.296283   1120.0095          1728.078871
     1024          1000     0.5640          0.375759   1817.5370          2725.150275
     2048          1000     0.7775          0.534712   2635.0130          3830.101074
     4096          1000     1.1505          0.852617   3564.8660          4804.032629
     8192          1000     1.8975          1.488428   4317.9245          5503.794761
    16384          1000     2.9630          2.760049   5531.2165          5936.127059
    32768          1000     4.7560          5.303291   6890.0850          6178.804792
    65536           640     8.1000         10.389776   8091.4140          6307.739698
   131072           320    14.7120         20.562745   8910.0730          6374.246319
   262144           160    13.9660         40.908683  18769.4105          6408.028333
   524288            80    24.8380         81.600560  21110.4750          6425.053975
  1048576            40    58.3425        162.984313  17974.0505          6433.600768
  2097152            20   158.8400        325.751819  13203.2015          6437.882697
  4194304            10   323.8640        651.286832  12953.9360          6440.025799
  8388608             5   926.9995       1302.356857   9052.0095          6441.097886
 16777216             2  2418.5650       2604.496908   6937.6620          6441.634063
 33554432             1  5203.7080       5208.777010   6449.3505          6441.902185
 67108864             1 10447.0475      10417.337213   6424.4890          6442.036254
134217728             1 20815.7095      20834.457620   6448.4080          6442.103291
268435456             1 41580.3860      41668.698434   6456.4210          6442.136810
