mpirun -np 2 --map-by ppr:1:core --mca pml ob1 --mca btl self,vader --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pg-gnode001 socket 0 core 0 | host 2: ct1pg-gnode001 socket 0 core 1 | 
# Computed latency: 0.279 usec | Computed bandwidth: 4.4 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     0.2725          0.278532      0.0000             0.000000
        1          1000     0.2835          0.278762      3.5265             3.587291
        2          1000     0.2830          0.278992      7.0725             7.168677
        4          1000     0.2820          0.279451     14.1740            14.313791
        8          1000     0.2810          0.280369     28.3675            28.533796
       16          1000     0.2920          0.282206     54.5485            56.696110
       32          1000     0.2915          0.285880    109.3300           111.934935
       64          1000     0.3195          0.293228    200.5430           218.259844
      128          1000     0.3710          0.307925    344.3835           415.686068
      256          1000     0.4360          0.337317    586.8690           758.929791
      512          1000     0.5820          0.396102    880.4565          1292.596508
     1024          1000     0.6750          0.513672   1519.1085          1993.491383
     2048          1000     0.8130          0.748811   2517.8285          2735.002434
     4096          1000     1.6760          1.219090   2443.8765          3359.883717
     8192          1000     2.0105          2.159647   4074.0140          3793.211868
    16384          1000     2.5195          4.040762   6505.2510          4054.680311
    32768          1000     3.5345          7.802993   9273.6440          4199.414429
    65536           640     5.4695         15.327453  11988.7410          4275.726676
   131072           320     9.3320         30.376374  14055.5505          4314.932402
   262144           160    16.9030         60.474216  15509.4670          4334.806126
   524288            80    36.9315        120.669899  14197.2390          4344.811798
  1048576            40    98.1990        241.061265  10678.5170          4349.831975
  2097152            20   235.2685        481.843999   8914.3640          4352.346416
  4194304            10   550.5040        963.409465   7620.5815          4353.604727
  8388608             5  1656.4155       1926.540397   5064.6005          4354.234156
 16777216             2  3776.9060       3852.802262   4442.5005          4354.548938
 33554432             1  7844.3875       7705.325992   4278.0100          4354.706346
 67108864             1 15656.1395      15410.373452   4286.7965          4354.785055
134217728             1 31022.7590      30820.468372   4326.8220          4354.824410
268435456             1 61394.8295      61640.658212   4372.6355          4354.844088
