mpirun -np 2 -ppn 1 -env I_MPI_DEBUG 4 ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pg-gnode001 | host 2: ct1pg-gnode003 | 
# Computed latency: 1.33 usec | Computed bandwidth: 12 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     1.3465          1.327666      0.0000             0.000000
        1          1000     1.3445          1.327748      0.7450             0.753155
        2          1000     1.3525          1.327830      1.4800             1.506217
        4          1000     1.3470          1.327994      2.9690             3.012062
        8          1000     1.3455          1.328322      5.9560             6.022638
       16          1000     1.3470          1.328977     11.8840            12.039333
       32          1000     1.3680          1.330289     23.4065            24.054929
       64          1000     1.5600          1.332912     41.1240            48.015191
      128          1000     1.6150          1.338157     79.4315            95.653940
      256          1000     2.2540          1.348648    121.9175           189.819684
      512          1000     1.9480          1.369631    263.4735           373.823378
     1024          1000     2.1340          1.411596    481.0370           725.420209
     2048          1000     2.8125          1.495525    729.6050          1369.418428
     4096          1000     3.5825          1.663385   1146.0125          2462.448797
     8192          1000     4.5655          1.999104   1799.2755          4097.836276
    16384          1000     6.2945          2.670542   2608.3280          6135.084956
    32768          1000    10.4305          4.013417   3143.8890          8164.612962
    65536           640    13.4365          6.699169   4879.3830          9782.705930
   131072           320    22.5770         12.070672   5805.8700         10858.716033
   262144           160    33.3275         22.813678   7866.2305         11490.650387
   524288            80    56.5340         44.299690   9277.2570         11835.026262
  1048576            40    98.5030         87.271715  10645.4325         12015.072693
  2097152            20   184.9795        173.215764  11337.3185         12107.165940
  4194304            10   354.8060        345.103862  11821.6540         12153.744009
  8388608             5   697.4005        688.880059  12028.4535         12177.167697
 16777216             2  1384.5775       1376.432452  12117.2910         12188.913431
 33554432             1  2762.6505       2751.537238  12145.7810         12194.794800
 67108864             1  5513.7995       5501.746810  12171.1100         12197.737613
134217728             1 11014.8440      11002.165954  12185.1900         12199.209552
268435456             1 22004.3260      22003.004242  12199.2385         12199.945655
