mpirun -np 2 --map-by ppr:1:node --mca pml ob1 --mca btl self,tcp --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pg-gnode001 socket 0 core 0 | host 2: ct1pg-gnode003 socket 0 core 0 | 
# Computed latency: 15.4 usec | Computed bandwidth: 2.2 Gb/s |
   #bytes  #repetitions     t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     15.3570         15.399530      0.0000             0.000000
        1          1000     15.4215         15.399975      0.0645             0.064935
        2          1000     15.4160         15.400420      0.1300             0.129867
        4          1000     15.4140         15.401310      0.2600             0.259718
        8          1000     15.4105         15.403090      0.5200             0.519376
       16          1000     15.4470         15.406650      1.0370             1.038513
       32          1000     15.4850         15.413770      2.0665             2.076066
       64          1000     15.5395         15.428010      4.1190             4.148299
      128          1000     15.9525         15.456491      8.0250             8.281310
      256          1000     16.0050         15.513452     15.9975            16.501808
      512          1000     16.2370         15.627374     31.5380            32.763022
     1024          1000     16.6845         15.855218     61.3765            64.584416
     2048          1000     38.4565         16.310906     53.2580           125.560159
     4096          1000     38.8095         17.222283    105.5410           237.831422
     8192          1000     39.6620         19.045036    206.5610           430.138341
    16384          1000     41.5210         22.690541    394.6135           722.062989
    32768          1000     47.8165         29.981552    686.0380          1092.938735
    65536           640     80.9175         44.563575    809.9605          1470.618103
   131072           320    133.4095         73.727620    982.8705          1777.786943
   262144           160    202.6355        132.055710   1294.2045          1985.101593
   524288            80    313.6260        248.711890   1672.8150          2108.013415
  1048576            40    518.0255        482.024249   2024.8575          2175.359437
  2097152            20    925.2560        948.648969   2267.9015          2210.672302
  4194304            10   1900.2640       1881.898408   2208.8620          2228.762181
  8388608             5   4914.1355       3748.397286   2073.4405          2237.918598
 16777216             2   7851.5470       7481.395042   2138.3775          2242.525078
 33554432             1  15555.0450      14947.390553   2159.3910          2244.835437
 67108864             1  30390.3700      29879.381577   2211.1490          2245.992402
134217728             1  59946.4295      59743.363624   2242.1920          2246.571332
268435456             1 119391.8700     119471.327717   2251.9305          2246.860909
