mpirun -np 2 --map-by ppr:1:node --mca pml ucx --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pg-gnode001 socket 0 core 0 | host 2: ct1pg-gnode003 socket 0 core 0 | 
# Computed latency: 1.33 usec | Computed bandwidth: 12 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     1.3695          1.333090      0.0000             0.000000
        1          1000     1.3610          1.333172      0.7370             0.750091
        2          1000     1.3595          1.333254      1.4710             1.500089
        4          1000     1.3605          1.333419      2.9405             2.999808
        8          1000     1.3615          1.333747      5.8765             5.998137
       16          1000     1.3630          1.334405     11.7330            11.990362
       32          1000     1.3985          1.335720     22.8985            23.957113
       64          1000     1.6860          1.338351     37.9595            47.820056
      128          1000     1.7295          1.343611     74.0295            95.265645
      256          1000     2.0735          1.354133    125.4415           189.050882
      512          1000     2.0710          1.375176    247.1595           372.316051
     1024          1000     2.3105          1.417262    443.2820           722.520099
     2048          1000     2.9790          1.501433    687.4330          1364.029900
     4096          1000     3.9355          1.669777   1040.7890          2453.022369
     8192          1000     5.5020          2.006464   1488.7995          4082.804645
    16384          1000     7.2850          2.679838   2249.0550          6113.802690
    32768          1000    10.0470          4.026586   3261.1355          8137.911603
    65536           640    14.4715          6.720082   4528.5595          9752.262083
   131072           320    23.5195         12.107074   5573.1310         10826.067509
   262144           160    33.4945         22.881058   7826.7485         11456.812853
   524288            80    56.5495         44.429026   9274.6435         11800.573731
  1048576            40    98.8680         87.524963  10605.8335         11980.307886
  2097152            20   185.1950        173.716835  11324.2160         12072.243863
  4194304            10   355.1090        346.100581  11811.3135         12118.743022
  8388608             5   698.0670        690.868072  12016.9080         12142.127188
 16777216             2  1384.2870       1380.403054  12119.7555         12153.853145
 33554432             1  2761.3150       2759.473018  12151.6405         12159.724620
 67108864             1  5513.2670       5517.612947  12172.2660         12162.662486
134217728             1 11028.2100      11033.892804  12170.4070         12164.131951
268435456             1 22079.3745      22066.452518  12157.7525         12164.866817
