mpirun -np 2 -env I_MPI_DEBUG 4 -genv I_MPI_PIN_PROCESSOR_LIST shift=socket ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pg-gnode001 CPU 0 | host 2: ct1pg-gnode001 CPU 1 | 
# Computed latency: 0.475 usec | Computed bandwidth: 4.3 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     0.4715          0.475382      0.0000             0.000000
        1          1000     0.4780          0.475616      2.0965             2.102537
        2          1000     0.4775          0.475849      4.1915             4.203013
        4          1000     0.4770          0.476316      8.3775             8.397791
        8          1000     0.4790          0.477249     16.7420            16.762740
       16          1000     0.4745          0.479115     33.6265            33.394876
       32          1000     0.5065          0.482848     63.2985            66.273395
       64          1000     0.5010          0.490314    127.5080           130.528537
      128          1000     0.5905          0.505246    216.5015           253.341945
      256          1000     0.6350          0.535109    402.9855           478.406775
      512          1000     0.9660          0.594836    530.1520           860.740769
     1024          1000     1.0030          0.714290   1020.7570          1433.590495
     2048          1000     1.1535          0.953198   1778.8915          2148.555825
     4096          1000     1.5680          1.431014   2615.7550          2862.305359
     8192          1000     2.1040          2.386646   3896.7335          3432.431696
    16384          1000     3.5495          4.297910   4618.1315          3812.085520
    32768          1000     5.3355          8.120437   6142.6890          4035.250683
    65536           640     9.1990         15.765492   7124.8505          4156.927032
   131072           320    15.1475         31.055602   8652.9915          4220.559041
   262144           160    27.6390         61.635821   9484.5820          4253.111213
   524288            80    68.2630        122.796259   7680.4940          4269.576329
  1048576            40   132.2725        245.117135   7927.5490          4277.856786
  2097152            20   257.3500        489.758888   8149.1105          4282.009070
  4194304            10   509.6965        979.042393   8229.0540          4284.088237
  8388608             5  1057.8635       1957.609404   7930.0290          4285.128577
 16777216             2  2321.9610       3914.743426   7227.5935          4285.648937
 33554432             1  7877.5195       7829.011469   4259.5560          4285.909164
 67108864             1 15784.4115      15657.547555   4251.6315          4286.039290
134217728             1 31589.8915      31314.619727   4248.8175          4286.104355
268435456             1 62289.9410      62628.764072   4309.4975          4286.136889
