mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl self,tcp --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pg-gnode001 socket 0 core 0 | host 2: ct1pg-gnode001 socket 1 core 12 | 
# Computed latency: 8.62 usec | Computed bandwidth: 3.1 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     8.5320          8.620007      0.0000             0.000000
        1          1000     8.6540          8.620327      0.1160             0.116005
        2          1000     8.6370          8.620648      0.2325             0.232001
        4          1000     8.6450          8.621289      0.4615             0.463968
        8          1000     8.6400          8.622571      0.9265             0.927798
       16          1000     8.6280          8.625135      1.8555             1.855043
       32          1000     8.6420          8.630263      3.7045             3.707882
       64          1000     8.6425          8.640520      7.4090             7.406962
      128          1000     8.9740          8.661033     14.2730            14.778838
      256          1000     9.0270          8.702058     28.3740            29.418328
      512          1000     9.0905          8.784110     56.3555            58.287069
     1024          1000    10.3110          8.948212     99.3380           114.436267
     2048          1000     9.5860          9.276417    213.7190           220.774886
     4096          1000    11.5755          9.932828    353.9405           412.369972
     8192          1000    12.2850         11.245649    667.0345           728.459511
    16384          1000    16.8080         13.871291    974.8625          1181.144552
    32768          1000    26.8640         19.122575   1219.8035          1713.576714
    65536           640    62.2830         29.625144   1052.3135          2212.174903
   131072           320    88.6165         50.630281   1479.1745          2588.806487
   262144           160   135.5535         92.640555   1933.9665          2829.689433
   524288            80   208.0485        176.661103   2520.0460          2967.761380
  1048576            40   359.3135        344.702200   2918.3135          3041.976525
  2097152            20   678.5785        680.784393   3090.5460          3080.493651
  4194304            10  1346.1500       1352.948779   3115.8160          3100.120319
  8388608             5  2647.5245       2697.277551   3168.5150          3110.027738
 16777216             2  5393.8810       5385.935094   3110.4745          3115.005232
 33554432             1 10846.1475      10763.250182   3093.7370          3117.499959
 67108864             1 21552.2590      21517.880357   3113.8790          3118.748821
134217728             1 43028.1875      43027.140707   3119.3950          3119.373628
268435456             1 86049.6305      86045.661407   3119.6895          3119.686125
