mpirun -np 2 --map-by ppr:1:socket --mca pml ucx --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pg-gnode001 socket 0 core 0 | host 2: ct1pg-gnode001 socket 1 core 12 | 
# Computed latency: 0.412 usec | Computed bandwidth: 5.6 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     0.4240          0.411959      0.0000             0.000000
        1          1000     0.4220          0.412136      2.3765             2.426386
        2          1000     0.4170          0.412313      4.7925             4.850687
        4          1000     0.4180          0.412667      9.5685             9.693049
        8          1000     0.4195          0.413375     19.1175            19.352878
       16          1000     0.4195          0.414792     38.1985            38.573561
       32          1000     0.5675          0.417625     56.3840            76.623721
       64          1000     0.5815          0.423292    109.8755           151.195880
      128          1000     1.0765          0.434625    118.7475           294.506495
      256          1000     1.0975          0.457292    233.0625           559.817050
      512          1000     1.1955          0.502626    427.9450          1018.650089
     1024          1000     1.4900          0.593293    687.6745          1725.958755
     2048          1000     2.0890          0.774628    980.3145          2643.848511
     4096          1000     2.9665          1.137298   1380.7180          3601.518158
     8192          1000     4.6760          1.862638   1752.0075          4398.063843
    16384          1000     7.3020          3.313317   2243.9165          4944.893454
    32768          1000    12.9150          6.214676   2537.3235          5272.680635
    65536           640    24.0525         12.017393   2724.7225          5453.429136
   131072           320    45.4510         23.622827   2884.8380          5548.531497
   262144           160    14.7300         46.833696  17798.1685          5597.337486
   524288            80    25.9470         93.255433  20208.0370          5622.063884
  1048576            40    59.6700        186.098907  17573.9700          5634.509186
  2097152            20   160.2890        371.785855  13084.9585          5640.752522
  4194304            10   329.4790        743.159752  12730.3275          5643.879382
  8388608             5   717.4070       1485.907545  11695.3450          5645.444112
 16777216             2  2196.0400       2971.403131   7641.4635          5646.226802
 33554432             1  5736.8435       5942.394304   5849.3945          5646.618229
 67108864             1 11925.3000      11884.376649   5627.5280          5646.813963
134217728             1 23840.0200      23768.341340   5629.9680          5646.911835
268435456             1 47359.7690      47536.270721   5668.0165          5646.960772
