mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl self,vader --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pg-gnode001 socket 0 core 0 | host 2: ct1pg-gnode001 socket 1 core 12 | 
# Computed latency: 0.564 usec | Computed bandwidth: 3.7 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     0.5530          0.564097      0.0000             0.000000
        1          1000     0.5765          0.564366      1.7355             1.771901
        2          1000     0.5715          0.564634      3.4895             3.542116
        4          1000     0.5725          0.565172      6.9780             7.077493
        8          1000     0.5735          0.566247     13.9535            14.128112
       16          1000     0.6145          0.568397     26.0385            28.149337
       32          1000     0.6725          0.572697     47.6665            55.875938
       64          1000     0.7335          0.581298     87.3610           110.098460
      128          1000     0.9055          0.598499    141.5210           213.868375
      256          1000     1.0620          0.632901    241.6840           404.486550
      512          1000     1.2455          0.701706    410.8215           729.650815
     1024          1000     1.4945          0.839314    685.7550          1220.043619
     2048          1000     1.8125          1.114532   1135.8855          1837.543013
     4096          1000     2.6160          1.664967   1568.5165          2460.109272
     8192          1000     3.0840          2.765837   2660.6285          2961.852469
    16384          1000     3.6720          4.967576   4465.8430          3298.187791
    32768          1000     4.6545          9.371056   7043.4250          3496.724334
    65536           640     6.4695         18.178015  10133.7105          3605.234029
   131072           320    10.2940         35.791934  12738.6825          3662.054118
   262144           160    17.8475         71.019772  14686.8365          3691.141130
   524288            80    37.6440        141.475446  13928.7560          3705.858601
  1048576            40   100.9315        282.386796  10389.7890          3713.261436
  2097152            20   236.6395        564.209495   8862.3510          3716.973956
  4194304            10   481.7800       1127.854894   8706.0155          3718.833001
  8388608             5  1186.9545       2255.145691   7076.3305          3719.763221
 16777216             2  3758.0160       4509.727286   4464.8215          3720.228505
 33554432             1  9177.2020       9018.890475   3656.3210          3720.461191
 67108864             1 18409.6980      18037.216852   3645.3470          3720.577545
134217728             1 36479.8910      36073.869608   3679.2385          3720.635725
268435456             1 71679.6085      72147.175119   3744.9610          3720.664815
