mpirun -np 2 -env I_MPI_DEBUG 4 -genv I_MPI_PIN_PROCESSOR_LIST shift=core ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pt-tnode007 CPU 0 | host 2: ct1pt-tnode007 CPU 4 | 
# Computed latency: 0.232 usec | Computed bandwidth: 5.5 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     0.2315          0.232286      0.0000             0.000000
        1          1000     0.2320          0.232469      4.2770             4.301657
        2          1000     0.2335          0.232651      8.5260             8.596552
        4          1000     0.2340          0.233017     17.0360            17.166122
        8          1000     0.2330          0.233748     34.0990            34.224822
       16          1000     0.2335          0.235211     68.1105            68.023960
       32          1000     0.2420          0.238137    131.0860           134.376564
       64          1000     0.2435          0.243988    260.9660           262.308184
      128          1000     0.2605          0.255690    493.3535           500.606379
      256          1000     0.2815          0.279094    908.2520           917.253337
      512          1000     0.4260          0.325902   1199.5200          1571.022020
     1024          1000     0.4500          0.419519   2272.1805          2440.889005
     2048          1000     0.5960          0.606753   3442.7485          3375.344686
     4096          1000     0.8535          0.981220   4799.4395          4174.395222
     8192          1000     1.4025          1.730154   5836.0440          4734.837956
    16384          1000     2.3405          3.228023   6999.6695          5075.552781
    32768          1000     3.5200          6.223760   9309.6885          5264.984640
    65536           640     5.6865         12.215234  11527.2665          5365.103944
   131072           320     8.7035         24.198182  15059.8030          5416.605209
   262144           160    15.1005         48.164079  17360.0490          5442.728412
   524288            80    41.8905         96.095872  12516.4735          5455.884732
  1048576            40    83.1560        191.959458  12610.0850          5462.486773
  2097152            20   157.9805        383.686630  13275.2550          5465.793788
  4194304            10   406.3590        767.140975  10411.9655          5467.448798
  8388608             5  1153.3160       1534.049664   7284.7330          5468.276679
 16777216             2  2470.4350       3067.867042   6794.4730          5468.690713
 33554432             1  5943.1975       6135.501797   5646.1275          5468.897754
 67108864             1 11826.7455      12270.771309   5674.4565          5469.001280
134217728             1 23870.1275      24541.310333   5623.2755          5469.053045
268435456             1 49353.6015      49082.388380   5440.7695          5469.078927
