mpirun -np 2 --map-by ppr:1:core --mca pml ob1 --mca btl self,tcp --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pt-tnode007 socket 0 core 0 | host 2: ct1pt-tnode007 socket 0 core 1 | 
# Computed latency: 5.48 usec | Computed bandwidth: 5.3 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     5.4035          5.480309      0.0000             0.000000
        1          1000     5.4990          5.480498      0.1810             0.182465
        2          1000     5.4990          5.480687      0.3630             0.364918
        4          1000     5.5005          5.481066      0.7265             0.729785
        8          1000     5.5070          5.481823      1.4525             1.459368
       16          1000     5.5010          5.483338      2.9085             2.917931
       32          1000     5.5080          5.486368      5.8125             5.832639
       64          1000     5.5200          5.492426     11.5940            11.652409
      128          1000     5.6015          5.504544     22.8535            23.253515
      256          1000     5.6350          5.528780     45.4485            46.303167
      512          1000     5.6695          5.577250     90.3345            91.801511
     1024          1000     6.2840          5.674192    162.9665           180.466230
     2048          1000     6.1030          5.868075    335.6280           349.007139
     4096          1000     7.0960          6.255841    577.3670           654.748112
     8192          1000     7.4825          7.031373   1094.9630          1165.064066
    16384          1000     9.7310          8.582437   1683.9635          1909.014840
    32768          1000    15.5665         11.684566   2105.2130          2804.383228
    65536           640    30.3260         17.888823   2161.2270          3663.516684
   131072           320    43.3425         30.297336   3024.6055          4326.188883
   262144           160    61.2530         55.114364   4280.1805          4756.364414
   524288            80    95.0040        104.748419   5519.0020          5005.211563
  1048576            40   161.4455        204.016530   6495.2980          5139.661966
  2097152            20   304.1440        402.552751   6895.6790          5209.632758
  4194304            10   595.1395        799.625194   7049.2610          5245.337480
  8388608             5  1475.5560       1593.770079   5686.0655          5263.374002
 16777216             2  3196.4315       3182.059849   5249.8950          5272.438858
 33554432             1  6400.4720       6358.639390   5242.9620          5276.983006
 67108864             1 12740.9485      12711.798471   5267.4355          5279.258018
134217728             1 25495.8515      25418.116634   5264.9825          5280.396260
268435456             1 50754.7275      50830.752959   5290.6790          5280.965565
