mpirun -np 2 --map-by ppr:1:core --mca pml ucx --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pt-tnode007 socket 0 core 0 | host 2: ct1pt-tnode007 socket 0 core 1 | 
# Computed latency: 0.197 usec | Computed bandwidth: 6.4 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     0.2045          0.196735      0.0000             0.000000
        1          1000     0.2040          0.196891      4.8900             5.078961
        2          1000     0.1955          0.197046     10.3030            10.149900
        4          1000     0.1960          0.197358     20.5255            20.267784
        8          1000     0.1935          0.197980     41.4610            40.408108
       16          1000     0.1905          0.199225     83.9040            80.311162
       32          1000     0.2235          0.201715    142.6935           158.639510
       64          1000     0.2240          0.206695    285.2255           309.634416
      128          1000     0.3105          0.216656    413.3485           590.799090
      256          1000     0.3305          0.236576    772.3625          1082.102821
      512          1000     0.3840          0.276418   1332.6625          1852.268587
     1024          1000     0.4885          0.356101   2093.7725          2875.592153
     2048          1000     0.7450          0.515466   2745.0630          3973.103072
     4096          1000     1.1170          0.834197   3663.9950          4910.109958
     8192          1000     1.8830          1.471659   4352.4320          5566.505456
    16384          1000     3.0005          2.746584   5465.4725          5965.228627
    32768          1000     4.9125          5.296432   6676.7470          6186.805961
    65536           640     8.2860         10.396130   7914.2100          6303.884280
   131072           320    15.0445         20.595525   8717.1565          6364.100994
   262144           160    13.9445         40.994315  18859.6440          6394.642828
   524288            80    25.8605         81.791894  20322.8980          6410.023939
  1048576            40    57.0525        163.387053  18398.5525          6417.742275
  2097152            20   144.9915        326.577372  14468.7860          6421.608418
  4194304            10   310.3975        652.958009  13515.2950          6423.543236
  8388608             5   876.6535       1305.719282   9571.0665          6424.511083
 16777216             2  2293.6010       2611.241830   7315.1520          6424.995115
 33554432             1  5216.7085       5222.286924   6432.3905          6425.237159
 67108864             1 10454.2675      10444.377113   6419.3915          6425.358188
134217728             1 20868.7235      20888.557491   6431.6035          6425.418704
268435456             1 41682.3060      41776.918247   6440.0425          6425.448962
