mpirun -np 2 -ppn 1 -env I_MPI_DEBUG 4 ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pt-tnode007 | host 2: ct1pt-tnode008 | 
# Computed latency: 1.05 usec | Computed bandwidth: 12 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     1.0565          1.049488      0.0000             0.000000
        1          1000     1.0585          1.049570      0.9475             0.952771
        2          1000     1.0705          1.049652      1.8690             1.905393
        4          1000     1.0690          1.049816      3.7440             3.810193
        8          1000     1.0620          1.050143      7.5435             7.618013
       16          1000     1.0645          1.050797     15.0370            15.226541
       32          1000     1.0795          1.052105     29.6895            30.415216
       64          1000     1.2150          1.054721     52.7580            60.679526
      128          1000     1.2615          1.059955    101.6325           120.759900
      256          1000     1.5960          1.070421    164.9060           239.158342
      512          1000     1.5700          1.091353    326.6560           469.142608
     1024          1000     1.7265          1.133217    594.1460           903.622404
     2048          1000     2.3460          1.216945    874.2105          1682.902785
     4096          1000     3.1040          1.384401   1321.8350          2958.679542
     8192          1000     3.9995          1.719314   2051.0845          4764.690332
    16384          1000     5.7500          2.389140   2849.7825          6857.697670
    32768          1000     9.4940          3.728792   3451.7325          8787.833628
    65536           640    12.3860          6.408095   5291.7445         10227.064886
   131072           320    21.4645         11.766701   6107.4055         11139.231082
   262144           160    32.3715         22.483913   8098.3230         11659.180370
   524288            80    55.1675         43.918338   9509.3610         11937.792359
  1048576            40    96.9510         86.787188  10815.7920         12082.152095
  2097152            20   182.2130        172.524887  11509.8985         12155.649199
  4194304            10   352.1380        344.000285  11911.0480         12192.734092
  8388608             5   693.9190        686.951081  12088.7995         12211.361523
 16777216             2  1379.4050       1372.852674  12162.6895         12220.696598
 33554432             1  2754.6040       2744.655859  12181.2460         12225.369490
 67108864             1  5503.7065       5488.262230  12193.4385         12227.707277
134217728             1 10984.6200      10975.474971  12218.7585         12228.876505
268435456             1 21951.1475      21949.900453  12228.8205         12229.461203
