mpirun -np 2 --map-by ppr:1:node --mca pml ob1 --mca btl self,tcp --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pt-tnode007 socket 0 core 0 | host 2: ct1pt-tnode008 socket 0 core 0 | 
# Computed latency: 16.4 usec | Computed bandwidth: 2.6 Gb/s |
   #bytes  #repetitions     t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     16.3085         16.358571      0.0000             0.000000
        1          1000     16.3880         16.358955      0.0600             0.061129
        2          1000     16.3660         16.359339      0.1220             0.122254
        4          1000     16.3970         16.360107      0.2425             0.244497
        8          1000     16.4015         16.361642      0.4885             0.488948
       16          1000     16.4130         16.364712      0.9750             0.977714
       32          1000     16.4525         16.370852      1.9455             1.954694
       64          1000     16.5915         16.383133      3.8590             3.906457
      128          1000     17.0655         16.407695      7.5055             7.801218
      256          1000     17.1125         16.456819     14.9670            15.555862
      512          1000     17.5275         16.555066     29.2315            30.927089
     1024          1000     17.9885         16.751561     56.9540            61.128632
     2048          1000     39.4820         17.144551     51.8770           119.454867
     4096          1000     39.9180         17.930530    102.6235           228.437202
     8192          1000     41.0475         19.502488    199.6160           420.048976
    16384          1000     43.2865         22.646404    378.6435           723.470268
    32768          1000     51.3820         28.934237    638.9780          1132.499206
    65536           640     63.5530         41.509902   1031.8690          1578.804023
   131072           320    118.8655         66.661232   1103.6160          1966.240281
   262144           160    166.6430        116.963893   1581.3215          2241.238669
   524288            80    249.1305        217.569215   2121.5305          2409.752688
  1048576            40    403.6860        418.779858   2629.0245          2503.883556
  2097152            20    742.8680        821.201145   2855.8425          2553.761662
  4194304            10   1507.8570       1626.043718   2816.5660          2579.453402
  8388608             5   3300.7610       3235.728864   2572.2925          2592.494103
 16777216             2   6710.8040       6455.099157   2525.5760          2599.064026
 33554432             1  13334.2755      12893.839742   2543.0745          2602.361490
 67108864             1  26371.6300      25771.320912   2572.4520          2604.013362
134217728             1  52338.1310      51526.283253   2590.3585          2604.840084
268435456             1 102569.8085     103036.207935   2643.0715          2605.253642
