mpirun -np 2 --map-by ppr:1:node --mca pml ucx --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pt-tnode007 socket 0 core 0 | host 2: ct1pt-tnode008 socket 0 core 0 | 
# Computed latency: 0.983 usec | Computed bandwidth: 12 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     0.9980          0.982963      0.0000             0.000000
        1          1000     0.9815          0.983049      1.0185             1.017243
        2          1000     1.0270          0.983135      1.9675             2.034309
        4          1000     0.9980          0.983306      4.0135             4.067908
        8          1000     0.9835          0.983650      8.1370             8.132977
       16          1000     0.9850          0.984336     16.2395            16.254610
       32          1000     1.0035          0.985709     31.8865            32.463939
       64          1000     1.1390          0.988455     56.1710            64.747507
      128          1000     1.1835          0.993947    108.1850           128.779508
      256          1000     1.5310          1.004931    171.7450           254.743913
      512          1000     1.5005          1.026898    341.5725           498.588746
     1024          1000     1.6685          1.070834    615.0570           956.264241
     2048          1000     2.3660          1.158704    872.0590          1767.491473
     4096          1000     3.2395          1.334445   1266.5960          3069.439704
     8192          1000     4.4850          1.685928   1826.8100          4859.045375
    16384          1000     6.3865          2.388893   2568.4055          6858.407954
    32768          1000     8.7895          3.794822   3750.1515          8634.923970
    65536           640    12.5930          6.606681   5232.9170          9919.655582
   131072           320    18.6530         12.230399   7029.3880         10716.903149
   262144           160    33.6880         23.477835   7824.3480         11165.595326
   524288            80    55.7850         45.972706   9430.2340         11404.331949
  1048576            40   100.5785         90.962449  10502.6170         11527.570032
  2097152            20   194.3895        180.941935  11090.9730         11590.193306
  4194304            10   370.3560        360.900906  11464.0140         11621.760788
  8388608             5   717.2040        720.818849  11778.8645         11637.609100
 16777216             2  1427.9365       1440.654735  11835.0400         11645.549477
 33554432             1  2844.8065       2880.326508  11858.2365         11649.523729
 67108864             1  5733.4155       5759.670052  11791.4395         11651.511873
134217728             1 11529.5920      11518.357141  11733.9380         11652.506200
268435456             1 23043.7740      23035.731320  11714.3320         11653.003427
