mpirun -np 2 -env I_MPI_DEBUG 4 -genv I_MPI_PIN_PROCESSOR_LIST shift=socket ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pt-tnode007 CPU 0 | host 2: ct1pt-tnode007 CPU 1 | 
# Computed latency: 0.43 usec | Computed bandwidth: 4.2 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     0.4300          0.430472      0.0000             0.000000
        1          1000     0.4320          0.430710      2.3100             2.321747
        2          1000     0.4315          0.430948      4.6130             4.640931
        4          1000     0.4360          0.431424      9.1895             9.271628
        8          1000     0.4320          0.432375     18.4575            18.502455
       16          1000     0.4335          0.434278     36.8495            36.842780
       32          1000     0.4710          0.438083     67.8295            73.045492
       64          1000     0.4725          0.445694    135.6055           143.596288
      128          1000     0.5765          0.460916    222.4920           277.708111
      256          1000     0.6215          0.491359    411.7915           521.004156
      512          1000     0.8200          0.552245    625.3800           927.124168
     1024          1000     0.8960          0.674018   1143.1075          1519.246523
     2048          1000     1.0640          0.917564   1925.2265          2231.996157
     4096          1000     1.4920          1.404656   2746.7185          2916.015914
     8192          1000     1.9905          2.378840   4118.2830          3443.695008
    16384          1000     3.2590          4.327208   5026.6530          3786.275141
    32768          1000     5.0995          8.223944   6428.2100          3984.463120
    65536           640     9.2195         16.017415   7108.8380          4091.546642
   131072           320    17.9445         31.604357   7304.1660          4147.276226
   262144           160    34.5685         62.778242   7583.5875          4175.714228
   524288            80    83.2260        125.126012   6299.6630          4190.079982
  1048576            40   170.0750        249.821553   6165.3860          4197.299990
  2097152            20   337.5060        499.212633   6213.6925          4200.919332
  4194304            10   671.5850        997.994793   6246.1095          4202.731345
  8388608             5  1420.8345       1995.559114   5933.8870          4203.637938
 16777216             2  3877.8895       3990.687756   4326.9575          4204.091381
 33554432             1  7957.4325       7980.945039   4216.7700          4204.318140
 67108864             1 15937.9095      15961.459607   4210.6750          4204.431528
134217728             1 31844.6655      31922.488741   4214.7770          4204.488224
268435456             1 63784.5975      63844.547009   4208.4865          4204.516573
