mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl self,tcp --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pt-tnode007 socket 0 core 0 | host 2: ct1pt-tnode007 socket 1 core 12 | 
# Computed latency: 7.95 usec | Computed bandwidth: 3.2 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     7.8950          7.951097      0.0000             0.000000
        1          1000     7.9645          7.951407      0.1250             0.125764
        2          1000     7.9655          7.951718      0.2520             0.251518
        4          1000     7.9740          7.952338      0.5010             0.502997
        8          1000     7.9695          7.953580      1.0040             1.005836
       16          1000     7.9640          7.956063      2.0105             2.011045
       32          1000     7.9655          7.961029      4.0195             4.019581
       64          1000     7.9885          7.970962      8.0130             8.029144
      128          1000     8.3705          7.990827     15.2970            16.018367
      256          1000     8.4000          8.030558     30.4830            31.878234
      512          1000     8.4545          8.110019     60.5695            63.131791
     1024          1000     9.4315          8.268940    108.6055           123.836908
     2048          1000     8.9530          8.586784    228.8415           238.506060
     4096          1000    10.6805          9.222471    383.6170           444.132596
     8192          1000    11.4325         10.493845    716.7535           780.648062
    16384          1000    15.5315         13.036594   1055.2345          1256.769998
    32768          1000    25.5005         18.122091   1285.3740          1808.179874
    65536           640    56.2780         28.293085   1164.7390          2316.325705
   131072           320    81.4700         48.635073   1609.1360          2695.009824
   262144           160   122.8440         89.319050   2134.2800          2934.917033
   524288            80   196.3860        170.687002   2669.8570          3071.634000
  1048576            40   331.4605        333.422908   3163.6705          3144.882894
  2097152            20   632.5715        658.894719   3315.4510          3182.833218
  4194304            10  1251.3585       1309.838342   3351.9450          3202.153935
  8388608             5  2478.4200       2611.725587   3384.9800          3211.902522
 16777216             2  5131.5835       5215.500077   3269.5885          3216.799109
 33554432             1 10521.2050      10423.049057   3189.5450          3219.253005
 67108864             1 20793.7800      20838.147017   3228.0205          3220.481358
134217728             1 41640.1170      41668.342938   3224.0425          3221.095886
268435456             1 83340.0885      83328.734779   3222.0315          3221.403238
