mpirun -np 2 --map-by ppr:1:socket --mca pml ucx --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pt-tnode007 socket 0 core 0 | host 2: ct1pt-tnode007 socket 1 core 12 | 
# Computed latency: 0.397 usec | Computed bandwidth: 5.6 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     0.4110          0.396712      0.0000             0.000000
        1          1000     0.4050          0.396891      2.4685             2.519582
        2          1000     0.4005          0.397070      4.9920             5.036890
        4          1000     0.4015          0.397429      9.9805            10.064694
        8          1000     0.4015          0.398146     19.9880            20.093143
       16          1000     0.4005          0.399580     40.0620            40.042087
       32          1000     0.5615          0.402447     57.0075            79.513542
       64          1000     0.5580          0.408182    114.7065           156.792664
      128          1000     0.8910          0.419653    143.7450           305.014090
      256          1000     0.9400          0.442594    272.3480           578.408844
      512          1000     1.1515          0.488475    444.8130          1048.160013
     1024          1000     1.3295          0.580238    770.6260          1764.792792
     2048          1000     2.1120          0.763764    969.6760          2681.455875
     4096          1000     3.0270          1.130816   1353.2090          3622.161772
     8192          1000     4.9010          1.864921   1671.9890          4392.679712
    16384          1000     7.7145          3.333130   2126.7220          4915.500249
    32768          1000    13.6000          6.269547   2413.6345          5226.533518
    65536           640    25.2305         12.142383   2600.1955          5397.293119
   131072           320    47.1410         23.888054   2785.3660          5486.926659
   262144           160    14.1000         47.379396  18672.1740          5532.869194
   524288            80    25.3095         94.362080  20832.4685          5556.130185
  1048576            40    56.8260        188.327448  18499.3445          5567.834180
  2097152            20   145.2995        376.258183  14443.9680          5573.704687
  4194304            10   308.3245        752.119655  13615.7870          5576.644586
  8388608             5   634.0115       1503.842597  13235.3845          5578.115698
 16777216             2  2012.3325       3007.288483   8362.8830          5578.851546
 33554432             1  5655.3900       6014.180253   5935.3120          5579.219542
 67108864             1 12045.4435      12027.963795   5571.5865          5579.403559
134217728             1 23988.5225      24055.530878   5595.1880          5579.495571
268435456             1 47988.1965      48110.665043   5593.9590          5579.541579
