comm_level,#procs,nx,ny,nz,k,c(k)[MB],Tc[sec](t),P_exp[MLUPs](t),P_prg[MLUPs](t),Tc[sec](g),P_exp[MLUPs](g),P_prg[MLUPs](g)
core,1,1,1,1,0,0.0000,0.0000,112.9678,112.9680,0.0000,71.3881,72.3324
core,4,2,2,1,4,92.1600,0.0144,451.4460,452.5030,0.0144,285.3828,303.4910
core,8,2,2,2,6,138.2400,0.0216,902.4676,892.0190,0.0216,570.5959,582.5570
core,12,3,2,2,6,138.2400,0.0216,1353.7014,1325.0400,0.0216,855.8939,848.6420
socket,4,2,2,1,4,92.1600,0.0165,451.3853,451.4320,0.0165,285.3585,309.9950
socket,8,2,2,2,6,138.2400,0.0247,902.2858,885.7230,0.0247,570.5233,608.6970
socket,12,3,2,2,6,138.2400,0.0247,1353.4287,1332.2400,0.0247,855.7849,895.3720
node,12,3,2,2,6,138.2400,0.0115,1354.5924,1337.1100,0.0115,856.2499,917.6100
node,24,4,3,2,6,138.2400,0.0115,2709.1848,2641.4800,0.0115,1712.4999,1787.3600
node,48,4,4,3,6,138.2400,0.0115,5418.3696,5066.4600,0.0115,3424.9998,3330.1000
