# Number of processors: 1
# Process binding: core
# Process grid: 1 1 1
maxtime,mintime,jacobima,jacobimi,mlups
28.584045,28.584045,28.188175,28.188175,60.453305
28.653129,28.653129,28.266205,28.266205,60.307549
28.669352,28.669352,28.282391,28.282391,60.273423
22.112976,22.112976,21.767473,21.767473,78.144164
22.110484,22.110484,21.765786,21.765786,78.152971
22.100652,22.100652,21.756402,21.756402,78.187739
22.600847,22.600847,22.224890,22.224890,76.457313
22.250765,22.250765,21.906143,21.906143,77.660253
22.537631,22.537631,22.162971,22.162971,76.671768
22.436961,22.436961,22.092297,22.092297,77.015778
