# Number of processors: 24
# Process binding: node
# Process grid: 4 3 2
maxtime,mintime,jacobima,jacobimi,mlups
0.969497,0.969435,0.934174,0.907582,1782.367666
0.966740,0.966737,0.934395,0.910018,1787.449820
0.967218,0.967213,0.934946,0.909945,1786.567216
0.966309,0.966304,0.934007,0.909767,1788.248577
0.966100,0.966095,0.933831,0.909567,1788.635609
0.965955,0.965940,0.933696,0.909841,1788.902608
0.966577,0.966574,0.934239,0.909549,1787.751198
0.966327,0.966321,0.934014,0.909921,1788.214054
0.966511,0.966504,0.934244,0.909614,1787.873362
0.966661,0.966656,0.934399,0.909694,1787.596684
