# Number of processors: 8
# Process binding: socket
# Process grid: 2 2 2
maxtime,mintime,jacobima,jacobimi,mlups
2.840356,2.840050,2.752928,2.735290,608.374495
2.838063,2.838054,2.754349,2.736710,608.865947
2.839629,2.839620,2.755836,2.737499,608.530204
2.838115,2.838113,2.754307,2.737243,608.854736
2.837799,2.837796,2.754045,2.736550,608.922569
2.838296,2.838293,2.754531,2.736980,608.815916
2.838316,2.838311,2.754495,2.736930,608.811771
2.840704,2.840696,2.756994,2.737344,608.299812
2.837935,2.837931,2.754175,2.737260,608.893393
2.839311,2.839303,2.755517,2.737109,608.598257
