# Number of processors: 4
# Process binding: core
# Process grid: 2 2 1
maxtime,mintime,jacobima,jacobimi,mlups
3.822104,3.822098,3.759070,3.757432,452.107010
3.818160,3.818159,3.758303,3.755434,452.574020
3.818415,3.818414,3.758517,3.757174,452.543801
3.817589,3.817588,3.757741,3.755495,452.641701
3.819009,3.819008,3.759134,3.757423,452.473412
3.817569,3.817568,3.757628,3.755372,452.644086
3.818631,3.818630,3.758774,3.757122,452.518230
3.819421,3.819420,3.759585,3.755527,452.424644
3.819015,3.819014,3.759126,3.757114,452.472708
3.817704,3.817703,3.757791,3.755540,452.628092
