# Number of processors: 24
# Process binding: node
# Process grid: 4 3 2
maxtime,mintime,jacobima,jacobimi,mlups
0.660804,0.659582,0.633651,0.627830,2614.997674
0.653552,0.653550,0.633657,0.627636,2644.011236
0.653415,0.653411,0.633528,0.627641,2644.566186
0.653411,0.653408,0.633528,0.627576,2644.584253
0.653535,0.653530,0.633645,0.627723,2644.082570
0.653411,0.653407,0.633540,0.627706,2644.582869
0.653488,0.653483,0.633637,0.627721,2644.273757
0.653485,0.653481,0.633616,0.627679,2644.285876
0.653465,0.653459,0.633590,0.627903,2644.364072
0.653303,0.653300,0.633457,0.627694,2645.018930
