# Number of processors: 8
# Process binding: socket
# Process grid: 2 2 2
maxtime,mintime,jacobima,jacobimi,mlups
1.954455,1.952161,1.902127,1.881741,884.133898
1.950603,1.950601,1.901917,1.881980,885.879909
1.950574,1.950571,1.901852,1.881847,885.893180
1.950522,1.950515,1.901815,1.881780,885.916745
1.950609,1.950607,1.901879,1.881830,885.877021
1.950548,1.950546,1.901786,1.881927,885.904822
1.950507,1.950501,1.901752,1.881592,885.923710
1.950611,1.950607,1.901874,1.881865,885.876454
1.950332,1.950329,1.901607,1.881620,886.002836
1.950742,1.950739,1.901973,1.881813,885.816722
